u_nickname,u_url,m_content,m_content_url,m_content_id,m_images,m_videos,r_comment_num,g_publish_time,r_like_num,r_trans_num,verified,u_id,u_desc,u_fans,u_follow,u_login_time,u_area
NowThis,https://twitter.com/nowthisnews,China¡¯s efforts to contain the coronavirus are paying off. Life is beginning to return to normal after 80% of patients recovered https://t.co/Jy461azt8B,,1238211412314345474,['http://pbs.twimg.com/media/ES7-HTWXQAE_-HC.jpg'],https://twitter.com/nowthisnews/status/1238211412314345474/video/1,158,2020-03-13 05:13:00,12902,7411,1,701725963,Stories that move. Send us tips: contact@nowthismedia.com. Subscribe to our daily newsletter: https://t.co/2sCY2rymF7,2755488,11774,2012-07-18 04:31:08,The Internet & NYC
Benny,https://twitter.com/bennyjohnson,"China¡¯s first confirmed Coronavirus case was on November 17, 2019.

China knew about the virus and the rest of the World didn¡¯t find out about the virus until months later.

#ChinaLiedPeopleDied 
 https://t.co/KIn1cbLyt5",,1240234025530413061,,,208,2020-03-18 19:10:08,3565,2061,1,15212187,"Love my Family, God and Pipe Tobacco; not necessarily in that order. @tpusa Chief Creative Officer - HOST - The Benny Report @newsmax",317928,1838,2008-06-24 05:33:20,WashingtonDC/ New York City
Doncaster Council,https://twitter.com/MyDoncaster,"China¡¯s first emperor, Qin Shi Huang, was so obsessed with finding a way to live forever that he ended up accidentally killing himself. 

It¡¯s time for another surprisingly relevant history lesson from Doncaster Council __

#COVID19 https://t.co/tHOHekAaCG",,1250056014646464512,['http://pbs.twimg.com/media/EVkTLqjXQAAGdPD.jpg'],,166,2020-04-14 21:39:13,5129,1946,1,329630251,"Hello! We¡¯re Doncaster Council. If you need to report problems with any service, please use our website: https://t.co/6G3528YYzt",42297,971,2011-07-05 19:42:32,Doncaster
Tom Cotton,https://twitter.com/SenTomCotton,"China¡¯s fraud extends well beyond its Wuhan virus coverups. 

My EQUITABLE Act would have protected Americans from Chinese deception by requiring all Chinese companies traded on American exchanges to follow the same US regulations as every other nation. 

https://t.co/sDzWbRiUr5",,1245774674841210882,,,277,2020-04-03 02:06:42,2192,983,1,968650362,U.S. Senator proudly serving the state of Arkansas.,362322,353,2012-11-25 03:33:10,
Rep. Brian Mast,https://twitter.com/RepBrianMast,China¡¯s mishandling of the coronavirus has caused a devastating pandemic around the globe. We must hold the Chinese government accountable for lying to the rest of the world and trying to cover up their mistakes! https://t.co/Wmi5jXMDQI,,1298250780663840768,['http://pbs.twimg.com/media/EgRQBFVWoAI0eq1.jpg'],https://twitter.com/RepBrianMast/status/1298250780663840768/video/1,103,2020-08-25 21:28:01,1219,1138,1,8.14104E+17,"I love my wife, 4 rowdy children & dog, America & my community. I would give my life for them all without regret. God bless and thank you for letting me serve!",51512,463,2016-12-28 21:41:21,
Independent Women's Forum,https://twitter.com/IWF,China¡¯s mishandling of the coronavirus is now provoking questions abroad about the competence of its rulers and the reliability of whatever information they release. #FreeHongKong https://t.co/fKIZOcpX6d,,1227016402374144001,,,103,2020-02-11 07:48:01,1450,1320,1,16667912,"@IWF works to develop and advance policies that aren¡¯t just well intended but actually enhance freedom, opportunities, and well-being.",309734,173289,2008-10-09 23:43:07,"Washington, D.C."
Bloomberg Opinion,https://twitter.com/bopinion,"China¡¯s new coronavirus is far from being a pandemic, but this is for certain:

The next pandemic will come, and the world will have to be ready https://t.co/siuaptHLdL",,1219646376314843144,,,139,2020-01-21 23:42:10,1006,572,1,227682918,"Opinions on business, economics and much more from the editors and columnists at Bloomberg Opinion.",332962,585,2010-12-17 22:20:58,Worldwide
Gady Epstein,https://twitter.com/gadyepstein,China¡¯s official disinfo campaign shows no sign of abating. Here a foreign ministry spokesman re-ups the hoax that the coronavirus might have started in the US https://t.co/3n6JBAVksO,,1241742367490813956,['http://pbs.twimg.com/media/ETuOGVJXkAcM9rT.jpg'],,189,2020-03-22 23:03:45,1788,826,1,24674124,The Economist's China Affairs Editor. Formerly media editor. Views expressed are my own.,68015,3814,2009-03-16 18:33:34,"Brooklyn, NY"
Laura Ingraham,https://twitter.com/IngrahamAngle,China¡¯s puppet dances: World Health Coronavirus Disinformation - WSJ https://t.co/z7rW8Cz1Sn,,1247199605298790400,,,275,2020-04-07 00:28:52,2087,633,1,50769180,"Mom, author, host, The Ingraham Angle, 10p ET @FoxNews. Retweets do not = Endorsements",3711262,363,2009-06-26 05:03:25,DC
Laura Ingraham,https://twitter.com/IngrahamAngle,"China¡¯s retrospective study on critically ill COVID-19 patients: ¡°Demonstrates  that  hydroxychloroquine  application  is  associated  with  a  decreased  risk  of  death  in  critically  ill  COVID-19  patients  without  obvious  toxicity.¡±
https://t.co/6S9OvUabjS",,1256345814550667265,,,158,2020-05-02 06:12:38,822,266,1,50769180,"Mom, author, host, The Ingraham Angle, 10p ET @FoxNews. Retweets do not = Endorsements",3711262,363,2009-06-26 05:03:25,DC
Lee Zeldin,https://twitter.com/RepLeeZeldin,"China¡¯s strategy to put a lid on the Coronavirus by just trying to get no one to talk about it is not only destroying lives, families &amp; communities in China, but putting global health at risk as well. This has been massively mishandled by the Chinese govt. They need to refocus.",,1226337111093239808,,,196,2020-02-09 10:48:46,3604,1577,1,2750127259,Proudly representing New York's First Congressional District.,289513,2001,2014-08-21 03:25:47,
Mark R. Levin,https://twitter.com/marklevinshow,"China¡¯s virus curse on the world
https://t.co/9vDSt1hYvG",,1240234267294281729,,,262,2020-03-18 19:11:06,4036,1322,1,38495835,"THIS IS THE OFFICIAL MARK LEVIN SHOW TWITTER PAGE. 
DOWNLOAD MY PODCAST FOR FREE https://t.co/HUEgXS3l2C",2632415,6,2009-05-08 03:18:36,Underground Bunker
Kayleigh McEnany,https://twitter.com/kayleighmcenany,"Chinese Currency SOARING in hopes of @JoeBiden presidency 

Unsurprising. He says China is not competition &amp; ¡°they¡¯re not bad folks.¡±

The China Virus would say otherwise! https://t.co/oIj7vlM3nk",,1315791089396256770,,,236,2020-10-13 07:06:56,1798,595,1,259001548,Former White House Press Secretary. Harvard Law JD. Georgetown. Oxford. Previvor. Wife of @GilmartinSean. Mom of #BabyBlake. Phil. 4:6,1835010,2264,2011-03-01 07:33:33,
ANI,https://twitter.com/ANI,"Chinese President Xi Jinping has said that China acted in an open and transparent manner on the #COVID19 outbreak and that it had taken concrete efforts that helped save tens of millions of lives around the world during the pandemic: Reuters 
(file pic) https://t.co/yyK5KFQmFz",,1303196143333945344,['http://pbs.twimg.com/media/EhXhVceVgAAfTIc.png'],,731,2020-09-08 12:59:07,1102,107,1,355989081,"Asian News International. Multi-media news agency, content for information platforms: TV, Internet, broadband, newspapers, mobiles https://t.co/PjGRhL4qvg",5204746,0,2011-08-16 13:23:41,India
Lou Dobbs,https://twitter.com/LouDobbs,"Chinese President Xi deceived his people and unleashed this deadly pandemic on America and the world:  China's early coronavirus victory lap, misleading data hurting global response #AmericaFirst @realDonaldTrump_ #KAG

https://t.co/2gdRqsZ390",,1245897460117049344,,,189,2020-04-03 10:14:36,1580,639,1,26487169,,2183611,1955,2009-03-25 20:39:59,"New York, NY"
MEMRI,https://twitter.com/MEMRIReports,"Chinese Sociologist Dr. Li Yi: We Are Driving America to Its Death; COVID-19 Has Been Beneficial for China, North Korea; There Will Be No U.S.-China War, But We Will Take Over Taiwan https://t.co/UpA39qQdnJ",,1333327936380936192,['http://pbs.twimg.com/ext_tw_video_thumb/1333327244501127170/pu/img/nAAeKGieKc_r4_i7.jpg'],https://twitter.com/MEMRIReports/status/1333327936380936192/video/1,664,2020-11-30 16:32:06,3212,2961,1,19613267,Official account of Washington DC-based Middle East Media Research Institute for news on the Middle East and beyond. Find us on Facebook: https://t.co/RbGaCf2YzV,71024,240,2009-01-28 04:17:55,Washington D.C.
Jkylebass,https://twitter.com/Jkylebass,"Chinese State Media Spread A False Image Of A Hospital For Coronavirus Patients In Wuhan- Global Times,China Daily,and Zhou all spread lies on social media. How is the world to empathize  when it¡¯s the CCP govt itself spreading the lies? #coronaviruschina  https://t.co/7u7GW0rQ4i",,1222073308784594945,,,145,2020-01-28 16:25:56,1767,999,1,3005733012,Chief Investment Officer Hayman Capital Management ,203435,804,2015-02-01 11:15:42,San Francisco and Dallas
Ankur Singh,https://twitter.com/iAnkurSingh,"Chinese Virus killed one lakh globally

This is how @ShekharGupta is pushing propaganda articles to save China's image

Why? https://t.co/SdiJ32E6bT",,1249330490772873217,"['http://pbs.twimg.com/media/EVaDbFgUwAIGI2I.jpg', 'http://pbs.twimg.com/media/EVaDbqNU4AA7aLl.jpg', 'http://pbs.twimg.com/media/EVaDcReU8AAd25q.jpg', 'http://pbs.twimg.com/media/EVaDc4pUwAEiojQ.jpg']",,220,2020-04-12 21:36:15,3200,1824,0,2455275793,Non Resident Bihari,106457,886,2014-04-21 00:33:58,"Noida, Begusarai"
Jack Posobiec ,https://twitter.com/JackPosobiec,Chinese ambassador says China not to blame for coronavirus pandemic and to say so is racist  https://t.co/dfsJdgU1Pn,,1252581019284385804,,,1617,2020-04-21 20:52:41,1803,665,1,592730371,"Christian, China analyst, veteran",1186392,935,2012-05-28 21:31:22,Rent-free in your head
Tim Young,https://twitter.com/TimRunsHisMouth,"Chinese bots are out in force to try to stop both the names ""China Virus"" and ""Wuhan Virus"" from sticking.",,1239708276205461504,,,218,2020-03-17 08:21:00,1451,636,1,34367582,"Author, Host, Comedian, @WashTimes Columnist, @SiriusXMPatriot personality ... Instagram/Parler/Gab: @TimRunsHisMouth. 

Booking and Contact: Tim@timyoung.com",277696,40789,2009-04-23 03:20:20,Texas
OpIndia.com,https://twitter.com/OpIndia_com,Chinese expert and WHO claim Chinese coronavirus did not originate in China https://t.co/CZjpZTX0ZZ,,1359119858848333834,,,121,2021-02-09 20:40:00,726,130,1,74980737,"News and opinions website, bringing the right side of India to you.",515600,125,2009-09-17 18:25:56,New Delhi
Pop Crave,https://twitter.com/PopCrave,"Chinese influencer Wang Mengyun issues apology for eating bat linked to the Coronavirus outbreak.

The death toll has risen to 132 in China, with 6,078 confirmed cases of infection. At least 96 cases have been recorded outside of China. https://t.co/ommTWfpcnh",,1222612912608632832,"['http://pbs.twimg.com/media/EPeX8spXsAEqcEU.jpg', 'http://pbs.twimg.com/media/EPeX9BWX0AAGtRP.jpg', 'http://pbs.twimg.com/media/EPeX8stXkAAz6yY.jpg']",,197,2020-01-30 04:10:08,1538,256,0,4429003533,Craving Pop Culture. info@popcravenews.com,664064,2717,2015-12-10 02:00:33,
Voice of Uyghur,https://twitter.com/voiceofuyghur,"Chinese lady caught up in camera trying to spread virus by spitting, spraying.

Many videos shows Chinese do this to own people &amp;across the world.

Wake up world! Protect yourself, beware of this.
#coronavirus #LockdownNow #Italy #COVIDIDIOTS #COVID19 #lockdown #China #wuhan https://t.co/qY3PUX7OJ7",,1242475422186721282,['http://pbs.twimg.com/ext_tw_video_thumb/1242475382844071936/pu/img/dSf_PbtZBza4Z-rI.jpg'],https://twitter.com/UNNTV1/status/1242475422186721282/video/1,606,2020-03-24 23:36:39,3166,3436,0,1.20523E+18,"Independent voice of Uyghur people. News, facts, opinion about Uyghur Genocide, Uyghur movement and international response to China's crimes against Uyghurs.",15911,100,2019-12-13 05:02:11,"Washington, DC"
Lijian Zhao ÕÔÁ¢¼á,https://twitter.com/zlj517,Chinese spokeswoman: More reports on previously undiscovered COVID-19 cases are emerging. New Jersey mayor was infected in November; 171 cases in Florida by January &amp; NONE had been to China. What else hasn¡¯t been revealed in the U.S.? https://t.co/FdwSZ5cda4,,1258381222906077184,['http://pbs.twimg.com/media/EXarDHTWsAM_7--.jpg'],,465,2020-05-07 21:00:37,2441,694,1,141627220,"Spokesman & DDG, Information Department, Foreign Ministry, China. @MFA_China @SpokespersonCHN YouTube https://t.co/owWGn7HxYe Facebook https://t.co/Mkd9zCNrkU",879845,175041,2010-05-08 23:38:36,"Beijing, China"
Lijian Zhao ÕÔÁ¢¼á,https://twitter.com/zlj517,"Chinese spox: China fought hard &amp; bought 2 months for the world. Regrettably, US government squandered such precious time, then spared no efforts stigmatizing China. This is immoral and unjust. It does no good to US¡¯ own control of the virus nor international cooperation.",,1241024132029935616,,,1435,2020-03-20 23:29:44,8397,1565,1,141627220,"Spokesman & DDG, Information Department, Foreign Ministry, China. @MFA_China @SpokespersonCHN YouTube https://t.co/owWGn7HxYe Facebook https://t.co/Mkd9zCNrkU",879845,175041,2010-05-08 23:38:36,"Beijing, China"
Emerald Robinson __,https://twitter.com/EmeraldRobinson,"Chinese virologist Dr. Li-Meng Yan has now stated that coronavirus was made in a lab in Wuhan by the Chinese communists. 

And that China released the virus intentionally.",,1306026343491088391,,,432,2020-09-16 08:25:19,5682,2994,1,3932768472,"@Newsmax White House Correspondent. ""Politics is downstream of culture & culture is downstream of religion.""",343782,9176,2015-10-18 13:57:46,Washington D.C.
Tom Fitton,https://twitter.com/TomFitton,Chinese virologist: China's government 'intentionally' released #COVID-19 https://t.co/TSOlBWErMx #FoxNews,,1306193542549774337,,,286,2020-09-16 19:29:43,6186,3349,1,18266688,"President, Judicial Watch. (These are my personal views only!) NEW BOOK: A Republic Under Assault: https://t.co/S0oL7Z0oI2
https://t.co/g13e9b34ga",1184751,3225,2008-12-20 22:32:44,"Washington, DC"
Mike Bird,https://twitter.com/Birdyword,Chinese yuan tanking https://t.co/dtmJRQiIap,,1323818411416145928,['http://pbs.twimg.com/media/El8lz9_VcAALQ_0.png'],,970,2020-11-04 10:44:39,21063,7531,1,138141969,"Newsman @WSJ. Just a lad from Leeds with a lust for markets, economics and history. My views, you're welcome to them. Fans say 'quite foxy and devious'.",60166,1870,2010-04-29 02:53:58,Hong Kong
Nigel Farage,https://twitter.com/Nigel_Farage,"Christmas cancelled. Thank you, China.",,1340342881521971206,,,21958,2020-12-20 01:06:59,129038,29558,1,19017675,Leader of @reformparty_uk.,1637184,495,2009-01-15 18:37:07,
Mika Brzezinski,https://twitter.com/morningmika,"Close to 100,000 dead. 36 million unemployed. This is the age of Trump.",,1264545146932211714,,,19351,2020-05-24 21:13:51,43041,9363,1,18227519,"""Bipartisanship helps to avoid extremes and imbalances. It causes compromises and accommodations. So let's cooperate."" ~Zbigniew Brzezinski",1077461,1346,2008-12-19 06:33:51,"New York, New York"
Free Beacon,https://twitter.com/FreeBeacon,"Colorado Senate hopeful @Hickenlooper praised China as a ""great nation"" deserving of American respect and told voters that the Chinese do not seek global dominance.
Via @jackbeyrer 
https://t.co/s7IGleatke",,1312100717935513602,,,283,2020-10-03 02:42:43,309,286,1,455764741,News about freedom. https://t.co/CxHKcNeFBF,111547,3959,2012-01-05 21:54:57,United States
Kyle Griffin,https://twitter.com/kylegriffin1,"Commerce Secretary Wilbur Ross said the Chinese coronavirus ¡ª which has killed 170 in China and infected more than 7,700 people ¡ª could ""help"" to bring jobs to the United States because companies will be moving operations away from impacted areas. https://t.co/QSwsYuvWzi",,1222897263384526858,,,585,2020-01-30 23:00:02,816,584,1,32871086,"Senior Producer. MSNBC's @TheLastWord. Opinions mine. Suburban women, will you please like me?",1134645,829,2009-04-18 20:45:48,"Manhattan, NY"
POLITICO,https://twitter.com/politico,Commerce Secretary Wilbur Ross says the coronavirus outbreak in China will help ¡°accelerate the return of jobs to North America¡± https://t.co/dxwNSQRdax,,1222901051503730696,,,1668,2020-01-30 23:15:05,903,663,1,9300262,"Nobody knows politics like POLITICO. Got a news tip for us? 
",4488617,1549,2007-10-08 08:29:38,"Washington, D.C."
Sen. Marsha Blackburn,https://twitter.com/MarshaBlackburn,"Communism kills.

China¡¯s decision to suppress information and destroy early COVID-19 test kits has resulted in thousands of deaths.
 
This is China¡¯s fault. https://t.co/CMfAVBYiAE",,1242940597436063747,['http://pbs.twimg.com/media/ET_PtRDWoAAK7jL.jpg'],https://twitter.com/MarshaBlackburn/status/1242940597436063747/video/1,702,2020-03-26 06:25:05,1634,645,1,278145569,I am honored to serve the people of Tennessee.,289154,2184,2011-04-07 02:05:33,"Brentwood, TN"
Juanita Broaddrick,https://twitter.com/atensnut,"Communist China Thanks Hillary Clinton For Her Support After She Accuses Trump of Using ""Racist Rhetoric"" For Saying ""Chinese Virus"" https://t.co/73hEx8dnyu",,1241378067647471618,,,599,2020-03-21 22:56:09,2908,1579,0,22677397,"Author, ""You'd Better Put Some Ice On That"" retired RN & business owner, SPEAKER, PROUD TRUMP SUPPORTER",429938,4631,2009-03-04 04:52:40,"Fort Smith, Arkansas"
Mark R. Levin,https://twitter.com/marklevinshow,"Communist China and ABC News use exactly the same words in smearing the president who is ill with the China virus.
https://t.co/CdqEI0UuXw",,1312360776192188416,,,488,2020-10-03 19:56:06,7327,3693,1,38495835,"THIS IS THE OFFICIAL MARK LEVIN SHOW TWITTER PAGE. 
DOWNLOAD MY PODCAST FOR FREE https://t.co/HUEgXS3l2C",2632415,6,2009-05-08 03:18:36,Underground Bunker
ChuckGrassley,https://twitter.com/ChuckGrassley,Communist China caused the virus to spread &amp; world economy to collapse but Pres @realDonaldTrump &amp;GOP are getting the economy going again. Only thing that could stop this progress is Dem obstruction/playing politics. 2/2,,1291742482762530818,,,538,2020-08-07 22:26:21,3719,1066,1,10615232,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",628280,12984,2007-11-26 23:17:02,Iowa
Rick Scott,https://twitter.com/SenRickScott,"Communist China continues to censor the truth and deny its role in the spread of the #coronavirus.

Zhang Zhan should not be punished for writing the truth. The CCP must stop hiding behind its lies and take responsibility for its actions. https://t.co/nXUVJ9wM5U",,1342914213040304129,,,170,2020-12-27 03:24:33,952,732,1,131546062,"Senator from the great state of Florida. Fighting for Florida families and to Make Washington Work. #LetsGetToWork
https://t.co/t2TJJ5tras",341402,1536,2010-04-11 00:03:04,The Sunshine State
Sen. Marsha Blackburn,https://twitter.com/MarshaBlackburn,"Communist China destroyed early COVID-19 test kits, silenced doctors and lied about the outbreak.
 
It prevented other nations from knowing the true extent of Communism¡¯s virus and has resulted in over 78,000 dead.
 
#ChinaLiedPeopleDied https://t.co/6uAYeRbQXG",,1247684578158010368,['http://pbs.twimg.com/tweet_video_thumb/EVCqfhiXQAECFs9.jpg'],,287,2020-04-08 08:35:58,908,413,1,278145569,I am honored to serve the people of Tennessee.,289154,2184,2011-04-07 02:05:33,"Brentwood, TN"
Sen. Marsha Blackburn,https://twitter.com/MarshaBlackburn,"Communist China destroyed early COVID-19 testing samples, silenced doctors, and expelled American journalists. 

My Stop COVID Act will empower Americans to sue China in US courts for the costs of the virus. https://t.co/7QrBo610kT",,1255211898028646401,['http://pbs.twimg.com/amplify_video_thumb/1255176499013079040/img/XsWpBiY4v8mLTMLL.jpg'],https://twitter.com/MarshaBlackburn/status/1255211898028646401/video/1,167,2020-04-29 03:06:51,1183,809,1,278145569,I am honored to serve the people of Tennessee.,289154,2184,2011-04-07 02:05:33,"Brentwood, TN"
Sen. Marsha Blackburn,https://twitter.com/MarshaBlackburn,Communist China has been hiding COVID-19 information from the rest of the world since early January. We will not forget. https://t.co/Ri9UcAbxSp,,1341052685424975874,,,200,2020-12-22 00:07:30,823,308,1,278145569,I am honored to serve the people of Tennessee.,289154,2184,2011-04-07 02:05:33,"Brentwood, TN"
Rick Scott,https://twitter.com/SenRickScott,"Communist China has been lying to us from the start, and their response to the #Coronavirus has only further confirmed that. 

It¡¯s time Americans start focusing on buying American goods and bringing jobs back to America. We can¡¯t keep giving China any more advantages over us. https://t.co/SAFIwuxbNV",,1250932770681036803,['http://pbs.twimg.com/ext_tw_video_thumb/1250932629702049793/pu/img/Sn-BNtbH-ZIteMkP.jpg'],https://twitter.com/SenRickScott/status/1250932770681036803/video/1,324,2020-04-17 07:43:08,2740,1597,1,131546062,"Senator from the great state of Florida. Fighting for Florida families and to Make Washington Work. #LetsGetToWork
https://t.co/t2TJJ5tras",341402,1536,2010-04-11 00:03:04,The Sunshine State
Rick Scott,https://twitter.com/SenRickScott,"Communist China has proven that it cannot be trusted, which is why I asked the @WHO to do their own in-depth analysis on the extent of the spread of #Coronavirus.
 
We need to get an up-to-date picture of the threat we face. https://t.co/mBRE3iJUal",,1227399876364918784,['http://pbs.twimg.com/media/EQiZrDAXUAAB3Ax.jpg'],,211,2020-02-12 09:11:49,1747,1044,1,131546062,"Senator from the great state of Florida. Fighting for Florida families and to Make Washington Work. #LetsGetToWork
https://t.co/t2TJJ5tras",341402,1536,2010-04-11 00:03:04,The Sunshine State
Rick Scott,https://twitter.com/SenRickScott,"Communist China hid this from the world, lied about their numbers &amp; silenced those trying to raise alarms. This virus originated in China &amp; they allowed it to spread further than it should have.

The Chinese Communist Party is responsible, plain &amp; simple.
https://t.co/2GtA2R1zEe",,1240820350688116738,,,403,2020-03-20 09:59:59,2422,1439,1,131546062,"Senator from the great state of Florida. Fighting for Florida families and to Make Washington Work. #LetsGetToWork
https://t.co/t2TJJ5tras",341402,1536,2010-04-11 00:03:04,The Sunshine State
